,LSEC,Portal LAM,Central vein,Portal vein,Hepa,Chol,B cell,Kupf,Meso,Stel,Fibr,Oth im
Adamtsl2,0,0,0,0,0,0,0,0,1,0,1,0
Adgre1,0,0,0,0,0,0,0,1,0,0,0,0
Adgrg6,0,0,0,1,0,1,0,0,0,0,0,0
Axl,0,0,0,0,0,0,0,1,0,0,1,1
C5ar1,0,0,0,0,0,0,0,1,0,0,0,0
Ccr2,0,1,0,0,0,0,0,0,0,0,0,1
Ccr7,0,0,0,0,0,0,1,0,0,0,0,0
Cd14,0,0,0,0,0,1,0,1,0,0,0,0
Cd19,0,0,0,0,0,0,1,0,0,0,0,0
Cd207,0,0,0,0,0,0,0,1,0,0,0,0
Cd36,1,0,0,0,0,0,0,0,0,0,0,0
Cd5l,0,0,0,0,0,0,1,1,0,0,0,0
Cd79a,0,0,0,0,0,0,1,0,0,0,0,0
Cd9,0,1,1,0,0,1,0,0,0,0,0,1
Chil3,0,1,0,0,0,0,0,0,0,0,1,0
Clec4f,0,0,0,0,0,0,1,1,0,0,0,0
Col1a1,0,0,0,0,0,0,0,0,1,0,1,0
Colec11,0,0,0,0,0,0,0,0,0,1,1,0
Cx3cr1,0,1,0,0,0,1,0,0,0,0,0,0
Cxcl12,0,0,0,0,1,0,0,0,0,1,1,0
Cyp2e1,0,0,1,1,1,0,0,0,0,0,0,0
Dcn,0,0,0,0,0,0,0,0,0,1,1,0
Des,0,0,0,0,0,0,0,0,0,1,0,0
Dpt,0,0,0,0,0,1,0,0,1,0,1,0
Epcam,0,0,0,0,0,1,0,0,0,0,0,0
F13a1,0,1,0,0,0,0,0,0,0,0,0,0
Fcgr1,0,0,0,0,0,0,0,1,0,0,0,0
Flt3,0,0,0,0,0,0,0,0,0,0,0,1
Flt4,1,0,1,0,0,0,0,0,0,0,0,0
Fn1,0,1,0,0,1,1,0,0,0,1,0,0
Folr2,0,0,0,0,0,0,0,1,0,0,0,0
Gdf15,1,1,0,0,1,0,0,0,0,0,0,0
Ghr,0,0,0,1,1,0,0,0,0,0,0,0
Gja5,0,0,0,1,0,0,0,0,0,0,0,0
Gls2,0,0,0,0,1,0,0,0,0,0,0,0
Glul,0,0,1,1,0,0,0,0,1,0,0,0
Gpnmb,0,1,0,0,0,0,0,0,0,0,0,0
Grip1,0,0,0,0,0,0,0,0,1,0,0,0
Hal,0,0,0,0,1,0,0,0,0,1,0,0
Hgf,1,0,0,0,0,0,0,0,0,1,0,0
Igfbp3,0,0,0,0,0,0,0,0,0,1,1,0
Itgax,0,1,0,0,0,0,0,0,0,0,0,1
Itgb7,0,0,0,0,0,0,1,0,0,0,0,1
Krt19,0,0,0,0,0,1,0,0,1,0,0,0
Lhx6,0,0,1,0,0,0,0,0,0,0,0,0
Lilra5,0,0,0,0,0,0,0,1,0,0,0,0
Lpl,0,0,0,0,0,0,0,0,0,0,1,0
Lyve1,1,0,0,0,0,0,0,0,0,0,0,0
Mafb,0,0,0,0,0,0,0,1,0,0,0,0
Marco,0,0,0,0,0,0,0,1,0,0,0,0
Ms4a7,0,1,0,0,0,0,0,1,0,0,0,0
Msln,0,0,0,0,0,0,0,0,1,0,0,0
Ncam1,0,0,0,0,0,0,0,0,0,0,1,0
Ngfr,1,0,0,0,1,0,0,0,0,1,0,0
Nrxn1,0,0,0,0,0,0,0,0,0,1,1,0
Olfml3,0,0,0,0,0,0,0,0,0,1,0,0
Pck1,1,0,0,0,1,0,0,0,0,0,0,0
Pdgfra,0,0,0,0,0,0,0,0,0,1,1,0
Pdgfrb,0,0,0,0,0,0,0,0,0,1,1,0
Pecam1,1,0,1,0,0,0,1,0,0,0,0,0
Plpp1,1,0,1,0,0,0,0,0,0,0,0,0
Prox1,0,0,0,0,1,1,0,0,0,0,0,0
Reln,0,0,0,0,0,0,0,0,0,1,0,0
Rspo3,0,0,1,0,0,0,0,0,0,1,0,0
Sds,0,0,0,0,1,1,0,0,0,0,0,0
Sirpa,1,0,1,0,0,1,0,1,0,0,0,0
Slc40a1,0,0,0,0,0,0,0,1,0,0,0,0
Sox9,0,0,0,0,0,1,0,0,0,0,0,0
Spn,0,0,0,0,0,0,0,0,0,0,0,1
Spp1,0,1,0,0,0,1,0,0,0,0,0,0
Stab2,1,0,1,0,0,0,0,0,0,0,0,0
Svep1,0,0,0,0,0,0,0,0,0,0,1,0
Timd4,0,0,0,0,0,0,0,1,0,0,0,0
Tmem119,0,0,0,0,0,0,0,0,1,0,1,0
Trem2,0,1,0,0,0,0,0,0,0,0,0,0
Upk3b,0,0,0,0,0,0,0,0,1,0,0,0
Vsig4,0,0,0,0,0,0,0,1,0,0,0,0
Vwf,0,0,1,0,0,0,0,0,0,0,0,0
Wnt2,1,0,1,0,0,0,0,0,0,0,0,0
Wnt9b,0,0,1,0,0,0,0,0,0,0,0,0
Wt1,0,0,0,0,0,0,0,0,1,0,1,0
Cd3e,0,0,0,0,0,0,0,0,0,0,0,1
Clec9a,1,0,0,0,0,0,0,1,0,0,0,1
Xcr1,0,0,0,0,0,0,0,0,0,0,0,1
Mfap4,0,0,0,0,0,0,0,0,0,0,1,0
Myh11,0,0,0,0,0,0,0,0,0,0,1,0
Lgr5,0,0,0,1,0,0,0,0,0,0,0,0
Mmp12,0,0,0,0,1,0,0,0,0,0,0,0
